,Unnamed: 0,관광지명,도로명주소,중분류 카테고리,소분류 카테고리,구군명,주소,위도,경도
173,173,벡스코오디토리움,부산 해운대구 APEC로 55-0,문화시설,전시장,Haeundae-gu,부산 해운대구 APEC로 55-0,35.1670333,129.1357275
174,174,롯데시네마센텀시티,부산 해운대구 센텀남대로 59-0,공연/행사,극장,Haeundae-gu,부산 해운대구,35.1629,129.1638
175,175,소향씨어터신한카드홀,부산 해운대구 센텀중앙로 55-0,공연/행사,공연장,Haeundae-gu,부산 해운대구 센텀중앙로 55-0,35.1781569,129.1234604
176,176,해운대인문학도서관,부산 해운대구 반여로 132-0,문화시설,문화생활시설기타,Haeundae-gu,부산 해운대구 반여로 132,35.1935179,129.1178236
177,177,부산송정역폐역,부산 해운대구 송정중앙로8번길 60-0,역사관광지,문화유적지,Haeundae-gu,부산 해운대구 송정중앙로8번길 60-0,35.1805257,129.2005815
178,178,재송어린이도서관,부산 해운대구 해운대로76번길 35-1,문화시설,문화생활시설기타,Haeundae-gu,부산 해운대구 해운대로76번길 35-1,35.1906205,129.1170921
179,179,센텀시티스파랜드,부산 해운대구 센텀남대로 35-0,휴양관광지,온천,Haeundae-gu,부산 해운대구,35.1629,129.1638
180,180,성불사,부산 해운대구 해운대로383번길 270-0,역사관광지,절,Haeundae-gu,부산 해운대구 해운대로383번길 270,35.18209,129.1368466
181,181,아세안문화원,부산 해운대구 좌동로 162-0,문화시설,문화원,Haeundae-gu,부산 해운대구 좌동로 162,35.17516235,129.18201119999998
182,182,추리문학관,부산 해운대구 달맞이길117번나길 111-0,문화시설,문화생활시설기타,Haeundae-gu,부산 해운대구 달맞이길117번나길 111,35.1638109,129.1846009
183,183,뮤지엄원,부산 해운대구 센텀서로 20-0,문화시설,미술관,Haeundae-gu,부산 해운대구 센텀서로 20-0,35.1723109,129.1274832
184,184,해운대도서관우동분관,부산 해운대구 우동1로 89-0,문화시설,문화생활시설기타,Haeundae-gu,부산 해운대구 우동1로 89-0,35.1664781,129.1579765
185,185,조현화랑,부산 해운대구 달맞이길65번길 171-0,문화시설,화랑/전시관,Haeundae-gu,부산 해운대구 달맞이길65번길 171,35.1591899,129.175599
186,186,메가박스해운대,부산 해운대구 해운대로 813-0,공연/행사,극장,Haeundae-gu,부산 해운대구 해운대로 813,35.1887346,129.203893
187,187,부산영화의거리,부산 해운대구,휴양관광지,놀거리기타,Haeundae-gu,부산 해운대구,35.1629,129.1638
188,188,할매탕,부산 해운대구 중동2로10번길 7-0,휴양관광지,온천,Haeundae-gu,부산 해운대구 중동2로10번길 7-0,35.1634001,129.1658305
189,189,수도암,부산 해운대구 해운대로383번가길 117-120,역사관광지,절,Haeundae-gu,부산 해운대구 해운대로383번가길 117-120,35.1726393,129.1437787
190,190,해운대동백섬,부산 해운대구,역사관광지,문화유적지,Haeundae-gu,부산 해운대구,35.1629,129.1638
191,191,하늘연극장영화의전당,부산 해운대구 수영강변대로 120-0,공연/행사,극장,Haeundae-gu,부산 해운대구 수영강변대로 120,35.1712188,129.1266587
192,192,해월정사,부산 해운대구 청사포로67번길 19-0,역사관광지,절,Haeundae-gu,부산 해운대구 청사포로67번길 19-0,35.1629685,129.1890326
193,193,컨벤션홀BEXCO,부산 해운대구,문화시설,전시장,Haeundae-gu,부산 해운대구,35.1629,129.1638
194,194,벡스코상상체험키즈월드,부산 해운대구 APEC로 30-0,휴양관광지,놀이시설,Haeundae-gu,부산 해운대구 APEC로 30-0,35.1670333,129.1357275
